ID,ra,dec,Angular size,experiment,Wavelength 1,Wavelength 2,Processed by:,"Notes (Bluer region, nice looking, clear data etc)",Cosmos imaging url (not for the colour gradient program!!),,,,,,,,,,,,
837822,150.683161,2.574614,5.92338,Subaru (Mosaics),V,B,Teo,more blue than red,http://zoo-hst.s3.amazonaws.com/20135162.jpg,,,,,,,,,,,,
230785,150.231883,1.627976,5.21074,,,,,,http://zoo-hst.s3.amazonaws.com/20012450.jpg,,,,,,,,,,,,
837651,150.196053,2.569044,4.45627,,,,,,http://zoo-hst.s3.amazonaws.com/20147038.jpg,,,,,,,,,,,,
834892,149.796202,2.564102,3.64846,Subaru (Mosaics),V,B,Teo,more blue than red,http://zoo-hst.s3.amazonaws.com/20155800.jpg,,,,,,,,,,,,
249669,150.661317,1.660154,4.54652,Subaru (Mosaics),V,B,Teo,more blue than red,http://zoo-hst.s3.amazonaws.com/20005992.jpg,,,,,,,,,,,,
826212,150.103595,2.550771,4.27786,,,,,,http://zoo-hst.s3.amazonaws.com/20148180.jpg,,,,,,,,,,,,
510152,149.506735,2.074693,4.04988,,,,,,http://zoo-hst.s3.amazonaws.com/20076905.jpg,,,,,,,,,,,,
509765,150.478845,2.072056,5.53185,,,,,,http://zoo-hst.s3.amazonaws.com/20055810.jpg,,,,,,,,,,,,
824019,149.695846,2.549033,3.92027,,,,,,http://zoo-hst.s3.amazonaws.com/20158217.jpg,,,,,,,,,,,,
518166,150.418351,2.08515,4.42196,,,,,,http://zoo-hst.s3.amazonaws.com/20056888.jpg,,,,,,,,,,,,
551328,149.668021,2.135345,6.18763,Subaru (Mosaics),V,B,Teo,both decrease but the lines are close to each other,http://zoo-hst.s3.amazonaws.com/20102095.jpg,,,,,,,,,,,,
555646,150.390471,2.144525,4.7315,,,,,,http://zoo-hst.s3.amazonaws.com/20088251.jpg,,,,,,,,,,,,
874308,150.520982,2.625424,6.58545,,,,,,http://zoo-hst.s3.amazonaws.com/20169401.jpg,,,,,,,,,,,,
872872,150.068416,2.623613,3.71005,,,,,,http://zoo-hst.s3.amazonaws.com/20148087.jpg,,,,,,,,,,,,
215847,150.365943,1.605099,4.86472,,,,,,http://zoo-hst.s3.amazonaws.com/20000989.jpg,,,,,,,,,,,,
448160,150.418149,1.976721,5.28852,Subaru (Mosaics),V,B,Teo,both decrease,http://zoo-hst.s3.amazonaws.com/20234846.jpg,,,,,,,,,,,,
572704,150.540342,2.167851,5.03534,,,,,,http://zoo-hst.s3.amazonaws.com/20084313.jpg,,,,,,,,,,,,
511953,149.944974,2.078135,3.71428,,,,,,http://zoo-hst.s3.amazonaws.com/20067900.jpg,,,,,,,,,,,,
573007,149.907328,2.169094,5.21854,,,,,,http://zoo-hst.s3.amazonaws.com/20095489.jpg,,,,,,,,,,,,
840220,149.806278,2.572439,4.91504,,,,,,http://zoo-hst.s3.amazonaws.com/20155747.jpg,,,,,,,,,,,,
501652,150.148739,2.060591,5.29033,,,,,,http://zoo-hst.s3.amazonaws.com/20063849.jpg,,,,,,,,,,,,
605519,149.960916,2.218327,5.0631,,,,,,http://zoo-hst.s3.amazonaws.com/20093965.jpg,,,,,,,,,,,,
605055,150.250244,2.214576,5.16845,,,,,,http://zoo-hst.s3.amazonaws.com/20087445.jpg,,,,,,,,,,,,
640623,150.228121,2.269775,6.80954,,,,,,http://zoo-hst.s3.amazonaws.com/20087147.jpg,,,,,,,,,,,,
639158,149.680713,2.268299,4.20894,,,,,,http://zoo-hst.s3.amazonaws.com/20100123.jpg,,,,,,,,,,,,
906741,150.665625,2.67567,7.2844,Subaru (Mosaics),V,B,Teo,blue more constant but still decreases,http://zoo-hst.s3.amazonaws.com/20165720.jpg,,,,,,,,,,,,
904278,150.262577,2.670852,6.08991,,,,,,http://zoo-hst.s3.amazonaws.com/20173701.jpg,,,,,,,,,,,,
627520,149.921141,2.250367,5.01442,Subaru (Mosaics),V,B,Teo,both decrease,http://zoo-hst.s3.amazonaws.com/20093757.jpg,,,,,,,,,,,,
577761,150.324219,2.176493,4.31601,,,,,,http://zoo-hst.s3.amazonaws.com/20088083.jpg,,,,,,,,,,,,
637663,150.672196,2.264069,4.89329,,,,,,http://zoo-hst.s3.amazonaws.com/20079052.jpg,,,,,,,,,,,,
580295,149.762463,2.180071,5.09913,,,,,,http://zoo-hst.s3.amazonaws.com/20099106.jpg,,,,,,,,,,,,
633493,149.991408,2.259869,3.70405,,,,,,http://zoo-hst.s3.amazonaws.com/20092763.jpg,,,,,,,,,,,,
615692,149.779111,2.232734,4.2299,,,,,,http://zoo-hst.s3.amazonaws.com/20097464.jpg,,,,,,,,,,,,
611879,149.895321,2.227805,3.97177,,,,,,http://zoo-hst.s3.amazonaws.com/20093914.jpg,,,,,,,,,,,,
610703,150.342438,2.226237,3.90691,,,,,,http://zoo-hst.s3.amazonaws.com/20086489.jpg,,,,,,,,,,,,
613023,150.442859,2.2299,4.35375,,,,,,http://zoo-hst.s3.amazonaws.com/20083307.jpg,,,,,,,,,,,,
669348,149.974735,2.314903,5.55443,,,,,,http://zoo-hst.s3.amazonaws.com/20124506.jpg,,,,,,,,,,,,
930844,149.716256,2.71096,5.20705,,,,,,http://zoo-hst.s3.amazonaws.com/20185100.jpg,,,,,,,,,,,,
596339,149.961976,2.201885,6.3637,,,,,,http://zoo-hst.s3.amazonaws.com/20095789.jpg,,,,,,,,,,,,
948105,149.610042,2.740902,4.07105,,,,,,http://zoo-hst.s3.amazonaws.com/20185747.jpg,,,,,,,,,,,,
596188,150.573088,2.203472,5.15963,,,,,,http://zoo-hst.s3.amazonaws.com/20081472.jpg,,,,,,,,,,,,
426798,149.826641,1.941273,6.07279,Subaru (Mosaics),V,B,Teo,"blue stays more constant, red is weird, decreases then increases then again decreases",http://zoo-hst.s3.amazonaws.com/20043469.jpg,,,,,,,,,,,,
801764,149.913209,2.5122,6.37349,Subaru (Mosaics),V,B,Teo,"blue stays more constant, red decreases",http://zoo-hst.s3.amazonaws.com/20153804.jpg,,,,,,,,,,,,
753422,150.431158,2.439845,4.6962,Subaru (Mosaics),V,B,Teo,blue decreases more ,http://zoo-hst.s3.amazonaws.com/20110546.jpg,,,,,,,,,,,,
878287,150.041873,2.629447,4.61719,Subaru (Mosaics),V,B,Teo,the point looked like it wasn't on the object,http://zoo-hst.s3.amazonaws.com/20179989.jpg,,,,,,,,,,,,
456796,150.278348,1.990162,3.8438,Subaru (Mosaics),V,B,Teo,same as below,http://zoo-hst.s3.amazonaws.com/20062790.jpg,,,,,,,,,,,,
812706,150.505003,2.530995,3.80302,Subaru (Mosaics),V,B,Teo,same as below,http://zoo-hst.s3.amazonaws.com/20141528.jpg,,,,,,,,,,,,
768111,150.370115,2.462272,5.44368,Subaru (Mosaics),V,B,Teo,same as below,http://zoo-hst.s3.amazonaws.com/20145051.jpg,,,,,,,,,,,,
905927,150.68372,2.672757,4.77212,Subaru (Mosaics),V,B,Teo,"both decreasing, red decreases at a higher rate",http://zoo-hst.s3.amazonaws.com/20165736.jpg,,,,,,,,,,,,
768966,150.639042,2.464418,4.22111,Subaru (Mosaics),V,B,Teo,same as below,http://zoo-hst.s3.amazonaws.com/20138011.jpg,,,,,,,,,,,,
487826,150.652174,2.038171,5.10985,Subaru (Mosaics),V,B,Teo,"blue stays more constant, red decreases",http://zoo-hst.s3.amazonaws.com/20054161.jpg,,,,,,,,,,,,
